Gene	mRNA	GN
SoyZH13_12G156400	SoyZH13_12G156400.m2	100781893
SoyZH13_12G156400	SoyZH13_12G156400.m3	100781893
SoyZH13_12G156400	SoyZH13_12G156400.m4	100781893
SoyZH13_12G156400	SoyZH13_12G156400.m5	100781893
SoyZH13_12G159800	SoyZH13_12G159800.m1	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m10	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m11	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m12	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m13	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m14	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m15	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m16	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m17	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m18	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m19	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m2	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m20	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m3	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m4	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m5	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m7	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m8	100803851
SoyZH13_12G159800	SoyZH13_12G159800.m9	100803851
SoyZH13_12G160300	SoyZH13_12G160300.m1	PCP
SoyZH13_12G163100	SoyZH13_12G163100.m1	CBF3
SoyZH13_12G163101	SoyZH13_12G163101.m2	11406384
SoyZH13_12G164800	SoyZH13_12G164800.m1	100803294
SoyZH13_12G164800	SoyZH13_12G164800.m2	100803294
SoyZH13_12G170400	SoyZH13_12G170400.m1	11445209
SoyZH13_12G170400	SoyZH13_12G170400.m2	11445209
SoyZH13_12G170400	SoyZH13_12G170400.m3	11445209
SoyZH13_12G171600	SoyZH13_12G171600.m2	11408861
SoyZH13_12G181300	SoyZH13_12G181300.m1	LIP1
SoyZH13_12G192700	SoyZH13_12G192700.m1	CRR41
SoyZH13_12G200801	SoyZH13_12G200801.m1	TRXA
SoyZH13_12G204300	SoyZH13_12G204300.m1	HCF243
SoyZH13_12G205200	SoyZH13_12G205200.m1	25487263
SoyZH13_12G205200	SoyZH13_12G205200.m2	25487263
SoyZH13_12G205200	SoyZH13_12G205200.m3	25487263
SoyZH13_12G205200	SoyZH13_12G205200.m4	25487263
SoyZH13_12G208302	SoyZH13_12G208302.m1	ATPA
SoyZH13_12G208700	SoyZH13_12G208700.m1	PETA
SoyZH13_12G214200	SoyZH13_12G214200.m1	RAB11A
SoyZH13_12G214200	SoyZH13_12G214200.m2	RAB11A
SoyZH13_13G015100	SoyZH13_13G015100.m1	PVIP1
SoyZH13_13G015100	SoyZH13_13G015100.m2	PVIP1
SoyZH13_13G017502	SoyZH13_13G017502.m1	PSBA
SoyZH13_13G018201	SoyZH13_13G018201.m1	UGT85K17
SoyZH13_13G018800	SoyZH13_13G018800.m1	UGT85K17
SoyZH13_13G019001	SoyZH13_13G019001.m1	UGT85K17
SoyZH13_13G023700	SoyZH13_13G023700.m1	25482449
SoyZH13_13G027701	SoyZH13_13G027701.m1	25482398
SoyZH13_13G037500	SoyZH13_13G037500.m1	COL2
SoyZH13_13G038801	SoyZH13_13G038801.m1	UGT85K17
SoyZH13_13G046300	SoyZH13_13G046300.m1	LOC110756984
SoyZH13_13G053500	SoyZH13_13G053500.m1	MED4
SoyZH13_13G058600	SoyZH13_13G058600.m1	MYB4
SoyZH13_13G058600	SoyZH13_13G058600.m2	MYB4
SoyZH13_13G058600	SoyZH13_13G058600.m3	MYB4
SoyZH13_13G058600	SoyZH13_13G058600.m4	MYB4
SoyZH13_13G073500	SoyZH13_13G073500.m2	CER3
SoyZH13_13G073500	SoyZH13_13G073500.m3	CER3
SoyZH13_13G090900	SoyZH13_13G090900.m1	MED20
SoyZH13_13G099300	SoyZH13_13G099300.m1	11421894
SoyZH13_13G099300	SoyZH13_13G099300.m10	11421894
SoyZH13_13G099300	SoyZH13_13G099300.m2	11421894
SoyZH13_13G099300	SoyZH13_13G099300.m3	11421894
SoyZH13_13G099300	SoyZH13_13G099300.m4	11421894
SoyZH13_13G099300	SoyZH13_13G099300.m5	11421894
SoyZH13_13G099300	SoyZH13_13G099300.m6	11421894
SoyZH13_13G099300	SoyZH13_13G099300.m7	11421894
SoyZH13_13G099300	SoyZH13_13G099300.m8	11421894
SoyZH13_13G099300	SoyZH13_13G099300.m9	11421894
SoyZH13_13G114900	SoyZH13_13G114900.m1	TRM19
SoyZH13_13G114900	SoyZH13_13G114900.m2	TRM19
SoyZH13_13G114900	SoyZH13_13G114900.m3	TRM19
SoyZH13_13G114900	SoyZH13_13G114900.m4	TRM19
SoyZH13_13G114900	SoyZH13_13G114900.m5	TRM19
SoyZH13_13G117300	SoyZH13_13G117300.m1	TOP6A
SoyZH13_13G118700	SoyZH13_13G118700.m1	25484038
SoyZH13_13G118700	SoyZH13_13G118700.m2	25484038
SoyZH13_13G118700	SoyZH13_13G118700.m3	25484038
SoyZH13_13G133700	SoyZH13_13G133700.m1	ANGULATA
SoyZH13_13G133700	SoyZH13_13G133700.m2	ANGULATA
SoyZH13_13G142500	SoyZH13_13G142500.m1	25493963
SoyZH13_13G147200	SoyZH13_13G147200.m1	CRR6
SoyZH13_13G152100	SoyZH13_13G152100.m1	25495824
SoyZH13_13G156201	SoyZH13_13G156201.m2	SHBY
SoyZH13_13G156201	SoyZH13_13G156201.m3	SHBY
SoyZH13_13G156201	SoyZH13_13G156201.m4	SHBY
SoyZH13_13G156201	SoyZH13_13G156201.m5	SHBY
SoyZH13_13G156201	SoyZH13_13G156201.m6	SHBY
SoyZH13_13G159900	SoyZH13_13G159900.m1	11439284
SoyZH13_13G159900	SoyZH13_13G159900.m2	11439284
SoyZH13_13G159900	SoyZH13_13G159900.m3	11439284
SoyZH13_13G159900	SoyZH13_13G159900.m4	11439284
SoyZH13_13G159900	SoyZH13_13G159900.m5	11439284
SoyZH13_13G159900	SoyZH13_13G159900.m6	11439284
SoyZH13_13G159900	SoyZH13_13G159900.m7	11439284
SoyZH13_13G159900	SoyZH13_13G159900.m8	11439284
SoyZH13_13G166200	SoyZH13_13G166200.m1	11430366
SoyZH13_13G166200	SoyZH13_13G166200.m2	11430366
SoyZH13_13G166200	SoyZH13_13G166200.m3	11430366
SoyZH13_13G166200	SoyZH13_13G166200.m4	11430366
SoyZH13_13G166200	SoyZH13_13G166200.m5	11430366
SoyZH13_13G166200	SoyZH13_13G166200.m6	11430366
SoyZH13_13G166200	SoyZH13_13G166200.m7	11430366
SoyZH13_13G166902	SoyZH13_13G166902.m1	100305828
SoyZH13_13G170400	SoyZH13_13G170400.m1	AS2
SoyZH13_13G187900	SoyZH13_13G187900.m3	LOC107798388
SoyZH13_13G192700	SoyZH13_13G192700.m1	11438538
SoyZH13_13G192700	SoyZH13_13G192700.m2	11438538
SoyZH13_13G192700	SoyZH13_13G192700.m3	11438538
SoyZH13_13G192700	SoyZH13_13G192700.m4	11438538
SoyZH13_13G192700	SoyZH13_13G192700.m6	11438538
SoyZH13_13G202700	SoyZH13_13G202700.m1	100787087
SoyZH13_13G202700	SoyZH13_13G202700.m10	100787087
SoyZH13_13G202700	SoyZH13_13G202700.m11	100787087
SoyZH13_13G202700	SoyZH13_13G202700.m12	100787087
SoyZH13_13G202700	SoyZH13_13G202700.m13	100787087
SoyZH13_13G202700	SoyZH13_13G202700.m14	100787087
SoyZH13_13G202700	SoyZH13_13G202700.m15	100787087
SoyZH13_13G202700	SoyZH13_13G202700.m16	100787087
SoyZH13_13G202700	SoyZH13_13G202700.m2	100787087
SoyZH13_13G202700	SoyZH13_13G202700.m3	100787087
SoyZH13_13G202700	SoyZH13_13G202700.m4	100787087
SoyZH13_13G202700	SoyZH13_13G202700.m5	100787087
SoyZH13_13G202700	SoyZH13_13G202700.m6	100787087
SoyZH13_13G202700	SoyZH13_13G202700.m7	100787087
SoyZH13_13G202700	SoyZH13_13G202700.m8	100787087
SoyZH13_13G202700	SoyZH13_13G202700.m9	100787087
SoyZH13_13G216200	SoyZH13_13G216200.m1	11439284
SoyZH13_13G216200	SoyZH13_13G216200.m2	11439284
SoyZH13_13G217600	SoyZH13_13G217600.m1	25485937
SoyZH13_13G220500	SoyZH13_13G220500.m1	AT1G11070
SoyZH13_13G222000	SoyZH13_13G222000.m1	11430366
SoyZH13_13G222000	SoyZH13_13G222000.m10	11430366
SoyZH13_13G222000	SoyZH13_13G222000.m2	11430366
SoyZH13_13G222000	SoyZH13_13G222000.m3	11430366
SoyZH13_13G222000	SoyZH13_13G222000.m4	11430366
SoyZH13_13G222000	SoyZH13_13G222000.m5	11430366
SoyZH13_13G222000	SoyZH13_13G222000.m6	11430366
SoyZH13_13G222000	SoyZH13_13G222000.m8	11430366
SoyZH13_13G224000	SoyZH13_13G224000.m3	LOC113857498
SoyZH13_13G224000	SoyZH13_13G224000.m4	LOC113857498
SoyZH13_13G235300	SoyZH13_13G235300.m1	FKBP12
SoyZH13_13G238000	SoyZH13_13G238000.m1	25487121
SoyZH13_13G242500	SoyZH13_13G242500.m2	AT1G53450
SoyZH13_13G247700	SoyZH13_13G247700.m1	25487263
SoyZH13_13G247700	SoyZH13_13G247700.m2	25487263
SoyZH13_13G247700	SoyZH13_13G247700.m3	25487263
SoyZH13_13G247700	SoyZH13_13G247700.m4	25487263
SoyZH13_13G247700	SoyZH13_13G247700.m5	25487263
SoyZH13_13G247700	SoyZH13_13G247700.m6	25487263
SoyZH13_13G247700	SoyZH13_13G247700.m7	25487263
SoyZH13_13G249900	SoyZH13_13G249900.m1	RPMG
SoyZH13_13G262300	SoyZH13_13G262300.m1	CRR41
SoyZH13_13G265900	SoyZH13_13G265900.m2	25487782
SoyZH13_13G274500	SoyZH13_13G274500.m1	LIP1
SoyZH13_13G280400	SoyZH13_13G280400.m1	100781014
SoyZH13_13G285300	SoyZH13_13G285300.m1	11445209
SoyZH13_13G285300	SoyZH13_13G285300.m10	11445209
SoyZH13_13G285300	SoyZH13_13G285300.m2	11445209
SoyZH13_13G285300	SoyZH13_13G285300.m3	11445209
SoyZH13_13G285300	SoyZH13_13G285300.m4	11445209
SoyZH13_13G285300	SoyZH13_13G285300.m5	11445209
SoyZH13_13G285300	SoyZH13_13G285300.m6	11445209
SoyZH13_13G285300	SoyZH13_13G285300.m7	11445209
SoyZH13_13G285300	SoyZH13_13G285300.m8	11445209
SoyZH13_13G285300	SoyZH13_13G285300.m9	11445209
SoyZH13_13G291200	SoyZH13_13G291200.m1	LOC113855135
SoyZH13_13G291701	SoyZH13_13G291701.m1	11406384
SoyZH13_13G294400	SoyZH13_13G294400.m1	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m10	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m11	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m12	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m13	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m14	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m15	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m16	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m17	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m18	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m19	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m2	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m20	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m21	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m22	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m23	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m24	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m25	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m26	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m27	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m28	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m29	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m3	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m30	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m31	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m32	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m33	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m34	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m35	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m36	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m37	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m38	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m39	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m4	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m40	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m41	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m42	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m5	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m6	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m7	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m8	100803851
SoyZH13_13G294400	SoyZH13_13G294400.m9	100803851
SoyZH13_13G297000	SoyZH13_13G297000.m1	KWL1
SoyZH13_13G297400	SoyZH13_13G297400.m1	100810773
SoyZH13_13G297400	SoyZH13_13G297400.m2	100810773
SoyZH13_13G297400	SoyZH13_13G297400.m3	100781893
SoyZH13_13G297400	SoyZH13_13G297400.m4	100810773
SoyZH13_13G297400	SoyZH13_13G297400.m5	100810773
SoyZH13_13G297400	SoyZH13_13G297400.m6	100810773
SoyZH13_13G297400	SoyZH13_13G297400.m7	100810773
SoyZH13_13G297400	SoyZH13_13G297400.m8	100810773
SoyZH13_13G302704	SoyZH13_13G302704.m1	102595324
SoyZH13_13G305900	SoyZH13_13G305900.m3	LOC113856482
SoyZH13_13G305900	SoyZH13_13G305900.m4	LOC113856482
SoyZH13_13G307400	SoyZH13_13G307400.m1	WOX2
SoyZH13_13G315500	SoyZH13_13G315500.m1	TOP6B
SoyZH13_13G315500	SoyZH13_13G315500.m2	TOP6B
SoyZH13_13G316200	SoyZH13_13G316200.m1	NTH1
SoyZH13_13G316200	SoyZH13_13G316200.m2	NTH1
SoyZH13_13G318200	SoyZH13_13G318200.m1	25487912
SoyZH13_13G318800	SoyZH13_13G318800.m1	RABGAP
SoyZH13_13G319001	SoyZH13_13G319001.m1	LOC107477832
SoyZH13_13G325400	SoyZH13_13G325400.m1	PFK
SoyZH13_13G325400	SoyZH13_13G325400.m2	PFK
SoyZH13_13G325400	SoyZH13_13G325400.m3	PFK
SoyZH13_13G325400	SoyZH13_13G325400.m4	PFK
SoyZH13_13G330801	SoyZH13_13G330801.m1	100811504
SoyZH13_13G330801	SoyZH13_13G330801.m2	100811504
SoyZH13_13G330801	SoyZH13_13G330801.m3	100811504
SoyZH13_14G003000	SoyZH13_14G003000.m1	100798208
SoyZH13_14G003000	SoyZH13_14G003000.m4	100798208
SoyZH13_14G007500	SoyZH13_14G007500.m1	MED17
SoyZH13_14G009402	SoyZH13_14G009402.m1	102581539
SoyZH13_14G009402	SoyZH13_14G009402.m2	102581539
SoyZH13_14G009402	SoyZH13_14G009402.m3	102581539
SoyZH13_14G009402	SoyZH13_14G009402.m4	102581539
SoyZH13_14G016800	SoyZH13_14G016800.m1	100807139
SoyZH13_14G017700	SoyZH13_14G017700.m1	MOCS3
SoyZH13_14G017700	SoyZH13_14G017700.m2	MOCS3
SoyZH13_14G024500	SoyZH13_14G024500.m1	COQ3
SoyZH13_14G024500	SoyZH13_14G024500.m2	COQ3
SoyZH13_14G025500	SoyZH13_14G025500.m1	LOC106764319
SoyZH13_14G025500	SoyZH13_14G025500.m2	LOC106764319
SoyZH13_14G025500	SoyZH13_14G025500.m3	LOC106764319
SoyZH13_14G030200	SoyZH13_14G030200.m1	11426616
SoyZH13_14G030200	SoyZH13_14G030200.m2	11426616
SoyZH13_14G041900	SoyZH13_14G041900.m1	11433365
SoyZH13_14G041900	SoyZH13_14G041900.m2	11433365
SoyZH13_14G045101	SoyZH13_14G045101.m1	100798270
SoyZH13_14G045501	SoyZH13_14G045501.m2	AT1G04985
SoyZH13_14G062100	SoyZH13_14G062100.m2	11430241
SoyZH13_14G068400	SoyZH13_14G068400.m2	25482130
SoyZH13_14G068400	SoyZH13_14G068400.m3	25482130
SoyZH13_14G068400	SoyZH13_14G068400.m4	25482130
SoyZH13_14G068400	SoyZH13_14G068400.m5	25482130
SoyZH13_14G068400	SoyZH13_14G068400.m6	25482130
SoyZH13_14G073600	SoyZH13_14G073600.m1	11431804
SoyZH13_14G073600	SoyZH13_14G073600.m2	11431804
SoyZH13_14G073600	SoyZH13_14G073600.m3	11431804
SoyZH13_14G073600	SoyZH13_14G073600.m5	11431804
SoyZH13_14G073600	SoyZH13_14G073600.m6	11431804
SoyZH13_14G073600	SoyZH13_14G073600.m7	11431804
SoyZH13_14G076900	SoyZH13_14G076900.m1	11428035
SoyZH13_14G077400	SoyZH13_14G077400.m1	100785332
SoyZH13_14G084900	SoyZH13_14G084900.m1	25482042
SoyZH13_14G084900	SoyZH13_14G084900.m2	25482042
SoyZH13_14G090400	SoyZH13_14G090400.m1	NBP35
SoyZH13_14G090400	SoyZH13_14G090400.m2	NBP35
SoyZH13_14G090400	SoyZH13_14G090400.m3	NBP35
SoyZH13_14G090400	SoyZH13_14G090400.m4	NBP35
SoyZH13_14G090400	SoyZH13_14G090400.m5	NBP35
SoyZH13_14G090400	SoyZH13_14G090400.m6	NBP35
SoyZH13_14G090400	SoyZH13_14G090400.m7	NBP35
SoyZH13_14G090400	SoyZH13_14G090400.m8	NBP35
SoyZH13_14G090400	SoyZH13_14G090400.m9	NBP35
SoyZH13_14G105600	SoyZH13_14G105600.m1	LOC107411197
SoyZH13_14G107800	SoyZH13_14G107800.m2	25481928
SoyZH13_14G110300	SoyZH13_14G110300.m1	100784274
SoyZH13_14G110300	SoyZH13_14G110300.m10	100784274
SoyZH13_14G110300	SoyZH13_14G110300.m11	100784274
SoyZH13_14G110300	SoyZH13_14G110300.m12	100784274
SoyZH13_14G110300	SoyZH13_14G110300.m13	100784274
SoyZH13_14G110300	SoyZH13_14G110300.m14	100784274
SoyZH13_14G110300	SoyZH13_14G110300.m15	100784274
SoyZH13_14G110300	SoyZH13_14G110300.m16	100784274
SoyZH13_14G110300	SoyZH13_14G110300.m2	100784274
SoyZH13_14G110300	SoyZH13_14G110300.m3	100784274
SoyZH13_14G110300	SoyZH13_14G110300.m4	100784274
SoyZH13_14G110300	SoyZH13_14G110300.m5	100784274
SoyZH13_14G110300	SoyZH13_14G110300.m6	100784274
SoyZH13_14G110300	SoyZH13_14G110300.m7	100784274
SoyZH13_14G110300	SoyZH13_14G110300.m8	100784274
SoyZH13_14G110300	SoyZH13_14G110300.m9	100784274
SoyZH13_14G111702	SoyZH13_14G111702.m1	ADODEH
SoyZH13_14G121100	SoyZH13_14G121100.m1	LOC116215913
SoyZH13_14G125100	SoyZH13_14G125100.m3	LOC101508758
SoyZH13_14G125100	SoyZH13_14G125100.m4	LOC101508758
SoyZH13_14G136400	SoyZH13_14G136400.m1	25482449
SoyZH13_14G136702	SoyZH13_14G136702.m1	103644250
SoyZH13_14G140100	SoyZH13_14G140100.m1	11431317
SoyZH13_14G141100	SoyZH13_14G141100.m1	BBI
SoyZH13_14G145500	SoyZH13_14G145500.m5	25489770
SoyZH13_14G145600	SoyZH13_14G145600.m2	25482398
SoyZH13_14G154200	SoyZH13_14G154200.m1	11431970
SoyZH13_14G154200	SoyZH13_14G154200.m2	11431970
SoyZH13_14G170700	SoyZH13_14G170700.m1	C4H-2
SoyZH13_14G198200	SoyZH13_14G198200.m1	PFKB
SoyZH13_14G198200	SoyZH13_14G198200.m2	PFKB
SoyZH13_14G198200	SoyZH13_14G198200.m3	PFKB
SoyZH13_14G198200	SoyZH13_14G198200.m4	PFKB
SoyZH13_14G202600	SoyZH13_14G202600.m1	100777310
SoyZH13_14G202600	SoyZH13_14G202600.m2	100777310
SoyZH13_14G206100	SoyZH13_14G206100.m7	LOC103493823
SoyZH13_15G004200	SoyZH13_15G004200.m1	PSAI
SoyZH13_15G008902	SoyZH13_15G008902.m1	LOC103721389
SoyZH13_15G011800	SoyZH13_15G011800.m1	KATNA1
SoyZH13_15G020000	SoyZH13_15G020000.m1	PFK
SoyZH13_15G020000	SoyZH13_15G020000.m2	PFK
SoyZH13_15G020000	SoyZH13_15G020000.m3	PFK
SoyZH13_15G020000	SoyZH13_15G020000.m4	PFK
SoyZH13_15G020000	SoyZH13_15G020000.m5	PFK
SoyZH13_15G026600	SoyZH13_15G026600.m3	100803893
SoyZH13_15G026600	SoyZH13_15G026600.m4	100803893
SoyZH13_15G026600	SoyZH13_15G026600.m5	100803893
SoyZH13_15G026600	SoyZH13_15G026600.m6	100803893
SoyZH13_15G026600	SoyZH13_15G026600.m7	100803893
SoyZH13_15G026600	SoyZH13_15G026600.m8	100803893
SoyZH13_15G026900	SoyZH13_15G026900.m1	RABGAP
SoyZH13_15G026900	SoyZH13_15G026900.m2	RABGAP
SoyZH13_15G027600	SoyZH13_15G027600.m1	25487912
SoyZH13_15G039302	SoyZH13_15G039302.m1	100781760
SoyZH13_15G040200	SoyZH13_15G040200.m1	ATP6
SoyZH13_15G047600	SoyZH13_15G047600.m1	100807974
SoyZH13_15G049700	SoyZH13_15G049700.m1	PSD2
SoyZH13_15G052100	SoyZH13_15G052100.m3	100789076
SoyZH13_15G055000	SoyZH13_15G055000.m1	FKBP12
SoyZH13_15G064700	SoyZH13_15G064700.m1	LOC113857498
SoyZH13_15G066500	SoyZH13_15G066500.m1	11430366
SoyZH13_15G066500	SoyZH13_15G066500.m2	11430366
SoyZH13_15G066500	SoyZH13_15G066500.m3	11430366
SoyZH13_15G066500	SoyZH13_15G066500.m4	11430366
SoyZH13_15G066500	SoyZH13_15G066500.m5	11430366
SoyZH13_15G066500	SoyZH13_15G066500.m6	11430366
SoyZH13_15G066500	SoyZH13_15G066500.m7	11430366
SoyZH13_15G066500	SoyZH13_15G066500.m8	11430366
SoyZH13_15G066500	SoyZH13_15G066500.m9	11430366
SoyZH13_15G071400	SoyZH13_15G071400.m1	RPB2
SoyZH13_15G073000	SoyZH13_15G073000.m1	11439284
SoyZH13_15G073000	SoyZH13_15G073000.m2	11439284
SoyZH13_15G073000	SoyZH13_15G073000.m3	11439284
SoyZH13_15G073000	SoyZH13_15G073000.m4	11439284
SoyZH13_15G073000	SoyZH13_15G073000.m5	11439284
SoyZH13_15G073000	SoyZH13_15G073000.m6	11439284
SoyZH13_15G073000	SoyZH13_15G073000.m7	11439284
SoyZH13_15G088900	SoyZH13_15G088900.m1	100802825
SoyZH13_15G107800	SoyZH13_15G107800.m1	PFP-BETA
SoyZH13_15G107800	SoyZH13_15G107800.m2	PFP-BETA
SoyZH13_15G118700	SoyZH13_15G118700.m1	25494349
SoyZH13_15G118700	SoyZH13_15G118700.m3	25494349
SoyZH13_15G118800	SoyZH13_15G118800.m1	11412316
SoyZH13_15G118800	SoyZH13_15G118800.m2	11412316
SoyZH13_15G118800	SoyZH13_15G118800.m3	11412316
SoyZH13_15G118800	SoyZH13_15G118800.m5	11412316
SoyZH13_15G120900	SoyZH13_15G120900.m1	RPM1
SoyZH13_15G127200	SoyZH13_15G127200.m1	11412446
SoyZH13_15G143000	SoyZH13_15G143000.m1	LOC113864684
SoyZH13_15G143000	SoyZH13_15G143000.m2	LOC113864684
SoyZH13_15G143000	SoyZH13_15G143000.m3	LOC113864684
SoyZH13_15G143000	SoyZH13_15G143000.m4	LOC113864684
SoyZH13_15G150700	SoyZH13_15G150700.m1	CESA4
SoyZH13_15G151500	SoyZH13_15G151500.m1	LOC108980367
SoyZH13_15G158400	SoyZH13_15G158400.m1	11441580
SoyZH13_15G158400	SoyZH13_15G158400.m2	11441580
SoyZH13_15G158400	SoyZH13_15G158400.m3	11441580
SoyZH13_15G158400	SoyZH13_15G158400.m4	11441580
SoyZH13_15G173000	SoyZH13_15G173000.m3	FABF
SoyZH13_15G177000	SoyZH13_15G177000.m1	11421894
SoyZH13_15G177000	SoyZH13_15G177000.m2	11421894
SoyZH13_15G177000	SoyZH13_15G177000.m3	11421894
SoyZH13_15G177000	SoyZH13_15G177000.m4	11421894
SoyZH13_15G177000	SoyZH13_15G177000.m5	11421894
SoyZH13_15G177000	SoyZH13_15G177000.m6	11421894
SoyZH13_15G177000	SoyZH13_15G177000.m7	11421894
SoyZH13_15G177000	SoyZH13_15G177000.m8	11421894
SoyZH13_15G177000	SoyZH13_15G177000.m9	11421894
SoyZH13_15G183100	SoyZH13_15G183100.m1	GRXC
SoyZH13_15G185700	SoyZH13_15G185700.m1	LOC111274830
SoyZH13_15G190201	SoyZH13_15G190201.m1	ARM
SoyZH13_15G192401	SoyZH13_15G192401.m1	100811302
SoyZH13_15G194601	SoyZH13_15G194601.m1	25488313
SoyZH13_15G194602	SoyZH13_15G194602.m1	TAL
SoyZH13_15G200500	SoyZH13_15G200500.m1	100813861
SoyZH13_15G213700	SoyZH13_15G213700.m1	AS2
SoyZH13_15G217600	SoyZH13_15G217600.m2	102665522
SoyZH13_15G222700	SoyZH13_15G222700.m1	PSBE
SoyZH13_15G226801	SoyZH13_15G226801.m1	LOC108822416
SoyZH13_15G228100	SoyZH13_15G228100.m1	25487121
SoyZH13_15G228700	SoyZH13_15G228700.m1	100805295
SoyZH13_15G231000	SoyZH13_15G231000.m1	11435005
SoyZH13_15G234900	SoyZH13_15G234900.m1	LSM8
SoyZH13_15G234900	SoyZH13_15G234900.m2	LSM8
SoyZH13_15G234900	SoyZH13_15G234900.m3	LSM8
SoyZH13_15G234900	SoyZH13_15G234900.m4	LSM8
SoyZH13_15G241800	SoyZH13_15G241800.m1	PSBT
SoyZH13_16G000800	SoyZH13_16G000800.m1	11445574
SoyZH13_16G000800	SoyZH13_16G000800.m2	11445574
SoyZH13_16G000800	SoyZH13_16G000800.m3	11445574
SoyZH13_16G001000	SoyZH13_16G001000.m1	11425117
SoyZH13_16G001000	SoyZH13_16G001000.m2	11425117
SoyZH13_16G005202	SoyZH13_16G005202.m1	11429459
SoyZH13_16G005202	SoyZH13_16G005202.m2	11429459
SoyZH13_16G005202	SoyZH13_16G005202.m3	11429459
SoyZH13_16G005202	SoyZH13_16G005202.m4	11429459
SoyZH13_16G005202	SoyZH13_16G005202.m5	11429459
SoyZH13_16G005202	SoyZH13_16G005202.m6	11429459
SoyZH13_16G006900	SoyZH13_16G006900.m1	NSP1
SoyZH13_16G008300	SoyZH13_16G008300.m1	LSM1
SoyZH13_16G008300	SoyZH13_16G008300.m2	LSM1
SoyZH13_16G010100	SoyZH13_16G010100.m1	CIP7
SoyZH13_16G016200	SoyZH13_16G016200.m1	100785171
SoyZH13_16G016200	SoyZH13_16G016200.m2	100785171
SoyZH13_16G016200	SoyZH13_16G016200.m3	100785171
SoyZH13_16G016200	SoyZH13_16G016200.m4	100785171
SoyZH13_16G023500	SoyZH13_16G023500.m1	25500713
SoyZH13_16G023500	SoyZH13_16G023500.m2	25500713
SoyZH13_16G023500	SoyZH13_16G023500.m3	25500713
SoyZH13_16G023500	SoyZH13_16G023500.m4	25500713
SoyZH13_16G023500	SoyZH13_16G023500.m5	25500713
SoyZH13_16G023500	SoyZH13_16G023500.m6	25500713
SoyZH13_16G023500	SoyZH13_16G023500.m7	25500713
SoyZH13_16G023500	SoyZH13_16G023500.m8	25500713
SoyZH13_16G026600	SoyZH13_16G026600.m1	25500592
