Gene	mRNA	KEGG
SoyZH13_12G102200	SoyZH13_12G102200.m1	KEGG:R03876
SoyZH13_12G102800	SoyZH13_12G102800.m1	KEGG:R00066
SoyZH13_12G104400	SoyZH13_12G104400.m1	KEGG:R01993
SoyZH13_12G104400	SoyZH13_12G104400.m2	KEGG:R01993
SoyZH13_12G104400	SoyZH13_12G104400.m3	KEGG:R01993
SoyZH13_12G104400	SoyZH13_12G104400.m4	KEGG:R01993
SoyZH13_12G104400	SoyZH13_12G104400.m5	KEGG:R01993
SoyZH13_12G111300	SoyZH13_12G111300.m1	KEGG:R00083
SoyZH13_12G115700	SoyZH13_12G115700.m1	KEGG:R00893
SoyZH13_12G115700	SoyZH13_12G115700.m2	KEGG:R00893
SoyZH13_12G115700	SoyZH13_12G115700.m3	KEGG:R00893
SoyZH13_12G115700	SoyZH13_12G115700.m4	KEGG:R00893
SoyZH13_12G115900	SoyZH13_12G115900.m1	KEGG:R00630
SoyZH13_12G116200	SoyZH13_12G116200.m1	KEGG:R03532
SoyZH13_12G117900	SoyZH13_12G117900.m1	KEGG:R03876
SoyZH13_12G117900	SoyZH13_12G117900.m2	KEGG:R03876
SoyZH13_12G123200	SoyZH13_12G123200.m1	KEGG:R02064
SoyZH13_12G123200	SoyZH13_12G123200.m2	KEGG:R02064
SoyZH13_12G123400	SoyZH13_12G123400.m1	KEGG:R02064
SoyZH13_12G123400	SoyZH13_12G123400.m2	KEGG:R02064
SoyZH13_12G123400	SoyZH13_12G123400.m3	KEGG:R02064
SoyZH13_12G123400	SoyZH13_12G123400.m4	KEGG:R02064
SoyZH13_12G123600	SoyZH13_12G123600.m1	KEGG:R02064
SoyZH13_12G123600	SoyZH13_12G123600.m2	KEGG:R02064
SoyZH13_12G123600	SoyZH13_12G123600.m3	KEGG:R02064
SoyZH13_12G123600	SoyZH13_12G123600.m4	KEGG:R02064
SoyZH13_12G124600	SoyZH13_12G124600.m1	KEGG:R02064
SoyZH13_12G125200	SoyZH13_12G125200.m1	KEGG:R07359
SoyZH13_12G125500	SoyZH13_12G125500.m1	KEGG:R07359
SoyZH13_12G126900	SoyZH13_12G126900.m1	KEGG:R01384
SoyZH13_12G129400	SoyZH13_12G129400.m1	KEGG:R00104
SoyZH13_12G129400	SoyZH13_12G129400.m2	KEGG:R00104
SoyZH13_12G132400	SoyZH13_12G132400.m1	KEGG:R07359
SoyZH13_12G133600	SoyZH13_12G133600.m1	KEGG:R03876
SoyZH13_12G133600	SoyZH13_12G133600.m2	KEGG:R03876
SoyZH13_12G133600	SoyZH13_12G133600.m3	KEGG:R03876
SoyZH13_12G134603	SoyZH13_12G134603.m1	KEGG:R02820
SoyZH13_12G135800	SoyZH13_12G135800.m2	KEGG:R07392
SoyZH13_12G136200	SoyZH13_12G136200.m2	KEGG:R03876
SoyZH13_12G136300	SoyZH13_12G136300.m1	KEGG:R03876
SoyZH13_12G136500	SoyZH13_12G136500.m1	KEGG:R06354
SoyZH13_12G136500	SoyZH13_12G136500.m2	KEGG:R06354
SoyZH13_12G136800	SoyZH13_12G136800.m1	KEGG:R03876
SoyZH13_12G138605	SoyZH13_12G138605.m1	KEGG:R03876
SoyZH13_12G139200	SoyZH13_12G139200.m1	KEGG:R03840
SoyZH13_12G139200	SoyZH13_12G139200.m2	KEGG:R03840
SoyZH13_12G139200	SoyZH13_12G139200.m3	KEGG:R03840
SoyZH13_12G139200	SoyZH13_12G139200.m4	KEGG:R03840
SoyZH13_12G139800	SoyZH13_12G139800.m3	KEGG:R03876
SoyZH13_12G139900	SoyZH13_12G139900.m1	KEGG:R03876
SoyZH13_12G139900	SoyZH13_12G139900.m2	KEGG:R03876
SoyZH13_12G139900	SoyZH13_12G139900.m3	KEGG:R03876
SoyZH13_12G139900	SoyZH13_12G139900.m4	KEGG:R03876
SoyZH13_12G139900	SoyZH13_12G139900.m5	KEGG:R03876
SoyZH13_12G139900	SoyZH13_12G139900.m6	KEGG:R03876
SoyZH13_12G140000	SoyZH13_12G140000.m1	KEGG:R02519
SoyZH13_12G140000	SoyZH13_12G140000.m2	KEGG:R02519
SoyZH13_12G140000	SoyZH13_12G140000.m3	KEGG:R02519
SoyZH13_12G140502	SoyZH13_12G140502.m1	KEGG:R03435
SoyZH13_12G141300	SoyZH13_12G141300.m1	KEGG:R00966
SoyZH13_12G142100	SoyZH13_12G142100.m1	KEGG:R03876
SoyZH13_12G142100	SoyZH13_12G142100.m2	KEGG:R03876
SoyZH13_12G142100	SoyZH13_12G142100.m3	KEGG:R03876
SoyZH13_12G142200	SoyZH13_12G142200.m1	KEGG:R00345
SoyZH13_12G142200	SoyZH13_12G142200.m2	KEGG:R00345
SoyZH13_12G142200	SoyZH13_12G142200.m3	KEGG:R00345
SoyZH13_12G142200	SoyZH13_12G142200.m4	KEGG:R00345
SoyZH13_12G142300	SoyZH13_12G142300.m1	KEGG:R07359
SoyZH13_12G151200	SoyZH13_12G151200.m1	KEGG:R03223;KEGG:R03471
SoyZH13_12G154400	SoyZH13_12G154400.m1	KEGG:R08689
SoyZH13_12G154400	SoyZH13_12G154400.m2	KEGG:R08689
SoyZH13_12G154400	SoyZH13_12G154400.m3	KEGG:R08689
SoyZH13_12G156300	SoyZH13_12G156300.m1	KEGG:R03876
SoyZH13_12G156300	SoyZH13_12G156300.m2	KEGG:R03876
SoyZH13_12G156300	SoyZH13_12G156300.m3	KEGG:R03876
SoyZH13_12G158300	SoyZH13_12G158300.m1	KEGG:R01616
SoyZH13_12G160100	SoyZH13_12G160100.m1	KEGG:R08199
SoyZH13_12G160900	SoyZH13_12G160900.m1	KEGG:R01384
SoyZH13_12G166000	SoyZH13_12G166000.m1	KEGG:R01152
SoyZH13_12G169300	SoyZH13_12G169300.m1	KEGG:R03876
SoyZH13_12G169301	SoyZH13_12G169301.m1	KEGG:R03876
SoyZH13_12G171200	SoyZH13_12G171200.m1	KEGG:R03876
SoyZH13_12G171600	SoyZH13_12G171600.m1	KEGG:R03532
SoyZH13_12G171600	SoyZH13_12G171600.m2	KEGG:R03532
SoyZH13_12G172900	SoyZH13_12G172900.m1	KEGG:R03876
SoyZH13_12G172900	SoyZH13_12G172900.m2	KEGG:R03876
SoyZH13_12G172900	SoyZH13_12G172900.m3	KEGG:R03876
SoyZH13_12G172900	SoyZH13_12G172900.m4	KEGG:R03876
SoyZH13_12G172900	SoyZH13_12G172900.m5	KEGG:R03876
SoyZH13_12G173300	SoyZH13_12G173300.m1	KEGG:R01715
SoyZH13_12G173300	SoyZH13_12G173300.m2	KEGG:R01715
SoyZH13_12G173300	SoyZH13_12G173300.m4	KEGG:R01715
SoyZH13_12G173300	SoyZH13_12G173300.m5	KEGG:R01715
SoyZH13_12G173900	SoyZH13_12G173900.m1	KEGG:R01325
SoyZH13_12G174600	SoyZH13_12G174600.m1	KEGG:R03876
SoyZH13_12G174600	SoyZH13_12G174600.m2	KEGG:R03876
SoyZH13_12G175003	SoyZH13_12G175003.m1	KEGG:R03532
SoyZH13_12G175003	SoyZH13_12G175003.m2	KEGG:R03532
SoyZH13_12G175003	SoyZH13_12G175003.m3	KEGG:R03532
SoyZH13_12G177200	SoyZH13_12G177200.m1	KEGG:R08199
SoyZH13_12G177300	SoyZH13_12G177300.m1	KEGG:R08199
SoyZH13_12G179000	SoyZH13_12G179000.m1	KEGG:R03817
SoyZH13_12G179202	SoyZH13_12G179202.m1	KEGG:R02453
SoyZH13_12G179400	SoyZH13_12G179400.m1	KEGG:R02453
SoyZH13_12G179600	SoyZH13_12G179600.m1	KEGG:R02453
SoyZH13_12G179700	SoyZH13_12G179700.m1	KEGG:R00104
SoyZH13_12G179700	SoyZH13_12G179700.m2	KEGG:R00104
SoyZH13_12G179700	SoyZH13_12G179700.m3	KEGG:R00104
SoyZH13_12G179700	SoyZH13_12G179700.m4	KEGG:R00104
SoyZH13_12G179700	SoyZH13_12G179700.m5	KEGG:R00104
SoyZH13_12G179700	SoyZH13_12G179700.m6	KEGG:R00104
SoyZH13_12G180900	SoyZH13_12G180900.m1	KEGG:R02302
SoyZH13_12G183400	SoyZH13_12G183400.m1	KEGG:R03876
SoyZH13_12G183400	SoyZH13_12G183400.m2	KEGG:R03876
SoyZH13_12G183400	SoyZH13_12G183400.m3	KEGG:R03876
SoyZH13_12G183400	SoyZH13_12G183400.m4	KEGG:R03876
SoyZH13_12G183400	SoyZH13_12G183400.m5	KEGG:R03876
SoyZH13_12G183400	SoyZH13_12G183400.m6	KEGG:R03876
SoyZH13_12G183400	SoyZH13_12G183400.m7	KEGG:R03876
SoyZH13_12G187000	SoyZH13_12G187000.m1	KEGG:R02541
SoyZH13_12G187000	SoyZH13_12G187000.m3	KEGG:R02541
SoyZH13_12G189000	SoyZH13_12G189000.m1	KEGG:R00549
SoyZH13_12G189000	SoyZH13_12G189000.m2	KEGG:R00549
SoyZH13_12G189300	SoyZH13_12G189300.m1	KEGG:R00345
SoyZH13_12G190300	SoyZH13_12G190300.m1	KEGG:R00893
SoyZH13_12G190300	SoyZH13_12G190300.m2	KEGG:R00893
SoyZH13_12G190500	SoyZH13_12G190500.m1	KEGG:R03532
SoyZH13_12G195200	SoyZH13_12G195200.m1	KEGG:R07359
SoyZH13_12G195200	SoyZH13_12G195200.m2	KEGG:R07359
SoyZH13_12G195200	SoyZH13_12G195200.m3	KEGG:R05399;KEGG:R07359
SoyZH13_12G195200	SoyZH13_12G195200.m4	KEGG:R05399;KEGG:R07359
SoyZH13_12G195200	SoyZH13_12G195200.m5	KEGG:R07359
SoyZH13_12G201500	SoyZH13_12G201500.m1	KEGG:R03876
SoyZH13_12G201500	SoyZH13_12G201500.m2	KEGG:R03876
SoyZH13_12G202600	SoyZH13_12G202600.m1	KEGG:R07392;KEGG:R07394
SoyZH13_12G202600	SoyZH13_12G202600.m2	KEGG:R07392;KEGG:R07394
SoyZH13_12G203600	SoyZH13_12G203600.m1	KEGG:R05553
SoyZH13_12G203600	SoyZH13_12G203600.m2	KEGG:R05553
SoyZH13_12G203600	SoyZH13_12G203600.m3	KEGG:R05553
SoyZH13_12G206000	SoyZH13_12G206000.m1	KEGG:R03876
SoyZH13_12G206400	SoyZH13_12G206400.m1	KEGG:R06259;KEGG:R06261
SoyZH13_12G206400	SoyZH13_12G206400.m2	KEGG:R06259;KEGG:R06261
SoyZH13_12G206400	SoyZH13_12G206400.m3	KEGG:R06259;KEGG:R06261
SoyZH13_12G206400	SoyZH13_12G206400.m4	KEGG:R06259;KEGG:R06261
SoyZH13_12G206500	SoyZH13_12G206500.m1	KEGG:R00345
SoyZH13_12G206500	SoyZH13_12G206500.m2	KEGG:R00345
SoyZH13_12G206500	SoyZH13_12G206500.m3	KEGG:R00345
SoyZH13_12G206500	SoyZH13_12G206500.m4	KEGG:R00345
SoyZH13_12G209702	SoyZH13_12G209702.m1	KEGG:R00104
SoyZH13_12G210100	SoyZH13_12G210100.m1	KEGG:R00293;KEGG:R06513
SoyZH13_12G210100	SoyZH13_12G210100.m2	KEGG:R00293;KEGG:R06513
SoyZH13_12G213100	SoyZH13_12G213100.m1	KEGG:R03876
SoyZH13_12G213100	SoyZH13_12G213100.m2	KEGG:R03876
SoyZH13_12G213100	SoyZH13_12G213100.m3	KEGG:R03876
SoyZH13_12G213100	SoyZH13_12G213100.m4	KEGG:R03876
SoyZH13_12G213100	SoyZH13_12G213100.m5	KEGG:R03876
SoyZH13_12G213100	SoyZH13_12G213100.m6	KEGG:R03876
SoyZH13_12G213800	SoyZH13_12G213800.m1	KEGG:R03876
SoyZH13_12G216100	SoyZH13_12G216100.m1	KEGG:R03876
SoyZH13_12G216100	SoyZH13_12G216100.m2	KEGG:R03876
SoyZH13_12G216100	SoyZH13_12G216100.m3	KEGG:R03876
SoyZH13_12G216100	SoyZH13_12G216100.m4	KEGG:R03876
SoyZH13_12G216100	SoyZH13_12G216100.m5	KEGG:R03876
SoyZH13_12G216200	SoyZH13_12G216200.m1	KEGG:R03433;KEGG:R05800
SoyZH13_13G000001	SoyZH13_13G000001.m1	KEGG:R05857
SoyZH13_13G001003	SoyZH13_13G001003.m1	KEGG:R01001
SoyZH13_13G001003	SoyZH13_13G001003.m2	KEGG:R01001
SoyZH13_13G001003	SoyZH13_13G001003.m3	KEGG:R01001
SoyZH13_13G002800	SoyZH13_13G002800.m1	KEGG:R03876
SoyZH13_13G002800	SoyZH13_13G002800.m2	KEGG:R03876
SoyZH13_13G003800	SoyZH13_13G003800.m1	KEGG:R02144
SoyZH13_13G003800	SoyZH13_13G003800.m2	KEGG:R02144
SoyZH13_13G006600	SoyZH13_13G006600.m1	KEGG:R00103
SoyZH13_13G009500	SoyZH13_13G009500.m1	KEGG:R01616
SoyZH13_13G009500	SoyZH13_13G009500.m2	KEGG:R01616
SoyZH13_13G009500	SoyZH13_13G009500.m3	KEGG:R01616
SoyZH13_13G013800	SoyZH13_13G013800.m1	KEGG:R01213
SoyZH13_13G013901	SoyZH13_13G013901.m1	KEGG:R01213
SoyZH13_13G013903	SoyZH13_13G013903.m1	KEGG:R01213
SoyZH13_13G014100	SoyZH13_13G014100.m1	KEGG:R01213
SoyZH13_13G014102	SoyZH13_13G014102.m1	KEGG:R01213
SoyZH13_13G014104	SoyZH13_13G014104.m1	KEGG:R01213
SoyZH13_13G014106	SoyZH13_13G014106.m1	KEGG:R01213
SoyZH13_13G017700	SoyZH13_13G017700.m1	KEGG:R00946;KEGG:R04405
SoyZH13_13G020100	SoyZH13_13G020100.m1	KEGG:R03876
SoyZH13_13G021300	SoyZH13_13G021300.m1	KEGG:R00104
SoyZH13_13G021300	SoyZH13_13G021300.m2	KEGG:R00104
SoyZH13_13G024400	SoyZH13_13G024400.m1	KEGG:R06983
SoyZH13_13G029000	SoyZH13_13G029000.m1	KEGG:R03876
SoyZH13_13G030700	SoyZH13_13G030700.m1	KEGG:R00425;KEGG:R07281
SoyZH13_13G030700	SoyZH13_13G030700.m2	KEGG:R00425;KEGG:R07281
SoyZH13_13G030700	SoyZH13_13G030700.m3	KEGG:R00425;KEGG:R07281
SoyZH13_13G030700	SoyZH13_13G030700.m4	KEGG:R00425;KEGG:R07281
SoyZH13_13G031801	SoyZH13_13G031801.m1	KEGG:R06307
SoyZH13_13G032100	SoyZH13_13G032100.m1	KEGG:R09656;KEGG:R09658
SoyZH13_13G032900	SoyZH13_13G032900.m1	KEGG:R01512
SoyZH13_13G032900	SoyZH13_13G032900.m2	KEGG:R01512
SoyZH13_13G032900	SoyZH13_13G032900.m3	KEGG:R01512
SoyZH13_13G032900	SoyZH13_13G032900.m4	KEGG:R01512
SoyZH13_13G032900	SoyZH13_13G032900.m5	KEGG:R01512
SoyZH13_13G032900	SoyZH13_13G032900.m6	KEGG:R01512
SoyZH13_13G032900	SoyZH13_13G032900.m7	KEGG:R01512
SoyZH13_13G032900	SoyZH13_13G032900.m8	KEGG:R01512
SoyZH13_13G033500	SoyZH13_13G033500.m1	KEGG:R00630
SoyZH13_13G034800	SoyZH13_13G034800.m1	KEGG:R03402
SoyZH13_13G035303	SoyZH13_13G035303.m1	KEGG:R02681
SoyZH13_13G035303	SoyZH13_13G035303.m2	KEGG:R02681
SoyZH13_13G035304	SoyZH13_13G035304.m1	KEGG:R00480
SoyZH13_13G035305	SoyZH13_13G035305.m1	KEGG:R02681
SoyZH13_13G036800	SoyZH13_13G036800.m1	KEGG:R00674;KEGG:R02722
SoyZH13_13G036800	SoyZH13_13G036800.m2	KEGG:R00674;KEGG:R02722
SoyZH13_13G039100	SoyZH13_13G039100.m1	KEGG:R03876
SoyZH13_13G039100	SoyZH13_13G039100.m2	KEGG:R03876
SoyZH13_13G039100	SoyZH13_13G039100.m3	KEGG:R03876
SoyZH13_13G039100	SoyZH13_13G039100.m4	KEGG:R03876
SoyZH13_13G040900	SoyZH13_13G040900.m1	KEGG:R03532
SoyZH13_13G042300	SoyZH13_13G042300.m1	KEGG:R01728;KEGG:R01730
SoyZH13_13G043300	SoyZH13_13G043300.m1	KEGG:R03094
SoyZH13_13G043600	SoyZH13_13G043600.m1	KEGG:R03094
SoyZH13_13G044300	SoyZH13_13G044300.m1	KEGG:R00286
SoyZH13_13G044300	SoyZH13_13G044300.m2	KEGG:R00286
SoyZH13_13G044300	SoyZH13_13G044300.m3	KEGG:R00286
SoyZH13_13G045500	SoyZH13_13G045500.m1	KEGG:R03876
SoyZH13_13G045500	SoyZH13_13G045500.m2	KEGG:R03876
SoyZH13_13G045500	SoyZH13_13G045500.m3	KEGG:R03876
SoyZH13_13G045500	SoyZH13_13G045500.m4	KEGG:R03876
SoyZH13_13G045500	SoyZH13_13G045500.m5	KEGG:R03876
SoyZH13_13G045600	SoyZH13_13G045600.m1	KEGG:R03876
SoyZH13_13G045600	SoyZH13_13G045600.m2	KEGG:R03876
SoyZH13_13G045600	SoyZH13_13G045600.m3	KEGG:R03876
SoyZH13_13G045600	SoyZH13_13G045600.m4	KEGG:R03876
SoyZH13_13G045800	SoyZH13_13G045800.m1	KEGG:R01715
SoyZH13_13G047500	SoyZH13_13G047500.m1	KEGG:R00630
SoyZH13_13G047500	SoyZH13_13G047500.m2	KEGG:R00630
SoyZH13_13G049700	SoyZH13_13G049700.m1	KEGG:R03876
SoyZH13_13G049700	SoyZH13_13G049700.m2	KEGG:R03876
SoyZH13_13G050101	SoyZH13_13G050101.m1	KEGG:R03083
SoyZH13_13G050101	SoyZH13_13G050101.m2	KEGG:R03083
SoyZH13_13G050101	SoyZH13_13G050101.m3	KEGG:R03083
SoyZH13_13G050101	SoyZH13_13G050101.m4	KEGG:R03083
SoyZH13_13G050300	SoyZH13_13G050300.m1	KEGG:R00893
SoyZH13_13G051400	SoyZH13_13G051400.m1	KEGG:R05799;KEGG:R09087
SoyZH13_13G051400	SoyZH13_13G051400.m2	KEGG:R05799;KEGG:R09087
SoyZH13_13G051400	SoyZH13_13G051400.m3	KEGG:R05799;KEGG:R09087
SoyZH13_13G052300	SoyZH13_13G052300.m1	KEGG:R03219
SoyZH13_13G052600	SoyZH13_13G052600.m1	KEGG:R07234
SoyZH13_13G052600	SoyZH13_13G052600.m2	KEGG:R07234
SoyZH13_13G053200	SoyZH13_13G053200.m1	KEGG:R04404
SoyZH13_13G053200	SoyZH13_13G053200.m2	KEGG:R04404
SoyZH13_13G053200	SoyZH13_13G053200.m3	KEGG:R04404
SoyZH13_13G054600	SoyZH13_13G054600.m1	KEGG:R00630
SoyZH13_13G054600	SoyZH13_13G054600.m2	KEGG:R00630
SoyZH13_13G054600	SoyZH13_13G054600.m3	KEGG:R00630
SoyZH13_13G054600	SoyZH13_13G054600.m4	KEGG:R00630
SoyZH13_13G054600	SoyZH13_13G054600.m5	KEGG:R00630
SoyZH13_13G054600	SoyZH13_13G054600.m6	KEGG:R00630
SoyZH13_13G055100	SoyZH13_13G055100.m1	KEGG:R03876
SoyZH13_13G055100	SoyZH13_13G055100.m2	KEGG:R03876
SoyZH13_13G055100	SoyZH13_13G055100.m3	KEGG:R03876
SoyZH13_13G055100	SoyZH13_13G055100.m4	KEGG:R03876
SoyZH13_13G055200	SoyZH13_13G055200.m1	KEGG:R03532
SoyZH13_13G055300	SoyZH13_13G055300.m1	KEGG:R00630
SoyZH13_13G055300	SoyZH13_13G055300.m2	KEGG:R00630
SoyZH13_13G055300	SoyZH13_13G055300.m3	KEGG:R00630
SoyZH13_13G055400	SoyZH13_13G055400.m1	KEGG:R00630
SoyZH13_13G056600	SoyZH13_13G056600.m1	KEGG:R03532
SoyZH13_13G057700	SoyZH13_13G057700.m1	KEGG:R01123
SoyZH13_13G057700	SoyZH13_13G057700.m2	KEGG:R01123
SoyZH13_13G057900	SoyZH13_13G057900.m1	KEGG:R05634
SoyZH13_13G057900	SoyZH13_13G057900.m2	KEGG:R05634
SoyZH13_13G058000	SoyZH13_13G058000.m1	KEGG:R03876
SoyZH13_13G058000	SoyZH13_13G058000.m2	KEGG:R03876
SoyZH13_13G058000	SoyZH13_13G058000.m3	KEGG:R03876
SoyZH13_13G058200	SoyZH13_13G058200.m1	KEGG:R03876
SoyZH13_13G058200	SoyZH13_13G058200.m2	KEGG:R03876
SoyZH13_13G058200	SoyZH13_13G058200.m3	KEGG:R03876
SoyZH13_13G058200	SoyZH13_13G058200.m4	KEGG:R03876
SoyZH13_13G063800	SoyZH13_13G063800.m1	KEGG:R01616
SoyZH13_13G063800	SoyZH13_13G063800.m2	KEGG:R01616
SoyZH13_13G067200	SoyZH13_13G067200.m1	KEGG:R03469
SoyZH13_13G075100	SoyZH13_13G075100.m1	KEGG:R00104
SoyZH13_13G075100	SoyZH13_13G075100.m2	KEGG:R00104
SoyZH13_13G075100	SoyZH13_13G075100.m3	KEGG:R00104
SoyZH13_13G075900	SoyZH13_13G075900.m1	KEGG:R05636;KEGG:ko00730
SoyZH13_13G076600	SoyZH13_13G076600.m2	KEGG:R00847
SoyZH13_13G076600	SoyZH13_13G076600.m3	KEGG:R00847
SoyZH13_13G076600	SoyZH13_13G076600.m4	KEGG:R00847
SoyZH13_13G076600	SoyZH13_13G076600.m6	KEGG:R00847
SoyZH13_13G076700	SoyZH13_13G076700.m1	KEGG:R03182;KEGG:R03231
SoyZH13_13G077600	SoyZH13_13G077600.m1	KEGG:R01616
SoyZH13_13G077900	SoyZH13_13G077900.m1	KEGG:R01728;KEGG:R01730
SoyZH13_13G078400	SoyZH13_13G078400.m1	KEGG:R00549;KEGG:R00804
SoyZH13_13G078400	SoyZH13_13G078400.m2	KEGG:R00549
SoyZH13_13G078400	SoyZH13_13G078400.m3	KEGG:R00549;KEGG:R00804
SoyZH13_13G080200	SoyZH13_13G080200.m2	KEGG:R07214
SoyZH13_13G080300	SoyZH13_13G080300.m1	KEGG:R03532
SoyZH13_13G083400	SoyZH13_13G083400.m1	KEGG:R05982
SoyZH13_13G083600	SoyZH13_13G083600.m1	KEGG:R00630
SoyZH13_13G085700	SoyZH13_13G085700.m1	KEGG:R03899;KEGG:R09074;KEGG:R09076;KEGG:R09077
SoyZH13_13G086601	SoyZH13_13G086601.m1	KEGG:R00630
SoyZH13_13G086601	SoyZH13_13G086601.m10	KEGG:R00630
SoyZH13_13G086601	SoyZH13_13G086601.m2	KEGG:R00630
SoyZH13_13G086601	SoyZH13_13G086601.m3	KEGG:R00630
SoyZH13_13G086601	SoyZH13_13G086601.m4	KEGG:R00630
SoyZH13_13G086601	SoyZH13_13G086601.m5	KEGG:R00630
SoyZH13_13G086601	SoyZH13_13G086601.m6	KEGG:R00630
SoyZH13_13G086601	SoyZH13_13G086601.m7	KEGG:R00630
SoyZH13_13G086601	SoyZH13_13G086601.m8	KEGG:R00630
SoyZH13_13G086601	SoyZH13_13G086601.m9	KEGG:R00630
SoyZH13_13G086602	SoyZH13_13G086602.m1	KEGG:R00630
SoyZH13_13G086900	SoyZH13_13G086900.m1	KEGG:R00630
SoyZH13_13G086900	SoyZH13_13G086900.m2	KEGG:R00630
SoyZH13_13G086900	SoyZH13_13G086900.m3	KEGG:R00630
SoyZH13_13G086900	SoyZH13_13G086900.m4	KEGG:R00630
SoyZH13_13G086900	SoyZH13_13G086900.m5	KEGG:R00630
SoyZH13_13G086900	SoyZH13_13G086900.m6	KEGG:R00630
SoyZH13_13G086900	SoyZH13_13G086900.m7	KEGG:R00630
SoyZH13_13G086900	SoyZH13_13G086900.m8	KEGG:R00630
SoyZH13_13G086900	SoyZH13_13G086900.m9	KEGG:R00630
SoyZH13_13G088000	SoyZH13_13G088000.m1	KEGG:R03532
SoyZH13_13G088100	SoyZH13_13G088100.m1	KEGG:R03876
SoyZH13_13G088200	SoyZH13_13G088200.m1	KEGG:R02765
SoyZH13_13G088200	SoyZH13_13G088200.m2	KEGG:R02765
SoyZH13_13G088700	SoyZH13_13G088700.m1	KEGG:R08165
SoyZH13_13G091200	SoyZH13_13G091200.m1	KEGG:R03401
SoyZH13_13G091300	SoyZH13_13G091300.m1	KEGG:R03401
SoyZH13_13G094600	SoyZH13_13G094600.m1	KEGG:R03532
SoyZH13_13G095100	SoyZH13_13G095100.m1	KEGG:R00630
SoyZH13_13G095900	SoyZH13_13G095900.m1	KEGG:R05802
SoyZH13_13G095900	SoyZH13_13G095900.m10	KEGG:R05802
SoyZH13_13G095900	SoyZH13_13G095900.m11	KEGG:R05802
SoyZH13_13G095900	SoyZH13_13G095900.m12	KEGG:R05802
SoyZH13_13G095900	SoyZH13_13G095900.m13	KEGG:R05802
SoyZH13_13G095900	SoyZH13_13G095900.m14	KEGG:R05802
SoyZH13_13G095900	SoyZH13_13G095900.m2	KEGG:R05802
SoyZH13_13G095900	SoyZH13_13G095900.m3	KEGG:R05802
SoyZH13_13G095900	SoyZH13_13G095900.m4	KEGG:R05802
SoyZH13_13G095900	SoyZH13_13G095900.m5	KEGG:R05802
SoyZH13_13G095900	SoyZH13_13G095900.m6	KEGG:R05802
SoyZH13_13G095900	SoyZH13_13G095900.m7	KEGG:R05802
SoyZH13_13G095900	SoyZH13_13G095900.m8	KEGG:R05802
SoyZH13_13G095900	SoyZH13_13G095900.m9	KEGG:R05802
SoyZH13_13G096200	SoyZH13_13G096200.m1	KEGG:R00630
SoyZH13_13G096300	SoyZH13_13G096300.m1	KEGG:R00630
SoyZH13_13G096400	SoyZH13_13G096400.m1	KEGG:R00630
SoyZH13_13G096500	SoyZH13_13G096500.m1	KEGG:R00630
SoyZH13_13G096500	SoyZH13_13G096500.m2	KEGG:R00630
SoyZH13_13G096600	SoyZH13_13G096600.m1	KEGG:R00716;KEGG:R02313
SoyZH13_13G098100	SoyZH13_13G098100.m1	KEGG:R00630
SoyZH13_13G098100	SoyZH13_13G098100.m2	KEGG:R00630
SoyZH13_13G098100	SoyZH13_13G098100.m3	KEGG:R00630
SoyZH13_13G098100	SoyZH13_13G098100.m4	KEGG:R00630
SoyZH13_13G102700	SoyZH13_13G102700.m1	KEGG:R05857
SoyZH13_13G102700	SoyZH13_13G102700.m2	KEGG:R05857
SoyZH13_13G105400	SoyZH13_13G105400.m1	KEGG:R01220
SoyZH13_13G107300	SoyZH13_13G107300.m1	KEGG:R00405;KEGG:R00432
SoyZH13_13G110001	SoyZH13_13G110001.m1	KEGG:R06983
SoyZH13_13G111900	SoyZH13_13G111900.m1	KEGG:R09656;KEGG:R09658
SoyZH13_13G113700	SoyZH13_13G113700.m1	KEGG:R00259;KEGG:R02282
SoyZH13_13G114100	SoyZH13_13G114100.m1	KEGG:R00004
SoyZH13_13G114400	SoyZH13_13G114400.m1	KEGG:R04404
SoyZH13_13G115100	SoyZH13_13G115100.m1	KEGG:R01384
SoyZH13_13G116300	SoyZH13_13G116300.m1	KEGG:R03876
SoyZH13_13G116300	SoyZH13_13G116300.m2	KEGG:R03876
SoyZH13_13G117700	SoyZH13_13G117700.m1	KEGG:R03876
SoyZH13_13G117700	SoyZH13_13G117700.m2	KEGG:R03876
SoyZH13_13G117700	SoyZH13_13G117700.m3	KEGG:R03876
SoyZH13_13G117700	SoyZH13_13G117700.m4	KEGG:R03876
SoyZH13_13G117700	SoyZH13_13G117700.m5	KEGG:R03876
SoyZH13_13G117700	SoyZH13_13G117700.m6	KEGG:R03876
SoyZH13_13G117700	SoyZH13_13G117700.m7	KEGG:R03876
SoyZH13_13G117700	SoyZH13_13G117700.m8	KEGG:R03876
SoyZH13_13G117700	SoyZH13_13G117700.m9	KEGG:R03876
SoyZH13_13G118100	SoyZH13_13G118100.m1	KEGG:R03876
SoyZH13_13G118100	SoyZH13_13G118100.m2	KEGG:R03876
SoyZH13_13G118100	SoyZH13_13G118100.m3	KEGG:R03876
SoyZH13_13G118100	SoyZH13_13G118100.m4	KEGG:R03876
SoyZH13_13G119500	SoyZH13_13G119500.m1	KEGG:R03532
SoyZH13_13G119800	SoyZH13_13G119800.m1	KEGG:R03876
